W0217 20:17:05.146739  3318 device_context.cc:262] Please NOTE: device: 0, CUDA Capability: 70, Driver API Version: 9.2, Runtime API Version: 9.0
W0217 20:17:05.146880  3318 device_context.cc:270] device: 0, cuDNN Version: 7.0.
-----------  Configuration Arguments -----------
batch_size: 16
checkpoint: None
class_dim: 1000
data_dir: /data/pzl/imagenet
enable_ce: False
fp16: False
image_shape: 3,224,224
l2_decay: 0.0001
lr: 0.1
lr_strategy: piecewise_decay
model: SE_ResNeXt50_32x4d
model_category: models
model_save_dir: output
momentum_rate: 0.9
num_epochs: 100
pretrained_model: None
scale_loss: 1.0
total_images: 1281167
use_gpu: True
with_mem_opt: True
------------------------------------------------
Pass 0, trainbatch 0, loss 6.95428943634,                         acc1 0.0, acc5 0.0, lr0.10000, time 1.38 sec
Pass 0, trainbatch 10, loss 9.06534576416,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 20, loss 7.02692985535,                         acc1 0.0625, acc5 0.0625, lr0.10000, time 0.22 sec
Pass 0, trainbatch 30, loss 7.11019515991,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 40, loss 7.19253158569,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 50, loss 6.89091300964,                         acc1 0.0625, acc5 0.0625, lr0.10000, time 0.22 sec
Pass 0, trainbatch 60, loss 6.98745584488,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 70, loss 6.91327667236,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 80, loss 6.93100214005,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 90, loss 6.90897798538,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 100, loss 6.94291305542,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 110, loss 6.81429672241,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.26 sec
Pass 0, trainbatch 120, loss 6.95119857788,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 130, loss 7.03633403778,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 140, loss 6.93237876892,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 150, loss 6.95746898651,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 160, loss 6.98144721985,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 170, loss 6.96554231644,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 180, loss 6.86837625504,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 190, loss 6.90948390961,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.29 sec
Pass 0, trainbatch 200, loss 6.9573302269,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 210, loss 6.93871974945,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 220, loss 6.98420333862,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 230, loss 6.91815853119,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 240, loss 6.9352812767,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
