W0217 10:44:43.441550  3109 device_context.cc:262] Please NOTE: device: 0, CUDA Capability: 70, Driver API Version: 9.2, Runtime API Version: 9.0
W0217 10:44:43.441632  3109 device_context.cc:270] device: 0, cuDNN Version: 7.0.
-----------  Configuration Arguments -----------
batch_size: 16
checkpoint: None
class_dim: 1000
data_dir: /data/pzl/imagenet
enable_ce: False
fp16: False
image_shape: 3,224,224
l2_decay: 0.0001
lr: 0.1
lr_strategy: piecewise_decay
model: SE_ResNeXt50_32x4d
model_category: models
model_save_dir: output
momentum_rate: 0.9
num_epochs: 1
pretrained_model: None
scale_loss: 1.0
total_images: 1281167
use_gpu: True
with_mem_opt: True
------------------------------------------------
Pass 0, trainbatch 0, loss 6.80472278595,                         acc1 0.0, acc5 0.0, lr0.10000, time 1.58 sec
Pass 0, trainbatch 10, loss 8.78858375549,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.21 sec
Pass 0, trainbatch 20, loss 8.72340488434,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 30, loss 7.20345973969,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 40, loss 7.24635505676,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 50, loss 6.82475662231,                         acc1 0.0625, acc5 0.0625, lr0.10000, time 0.21 sec
Pass 0, trainbatch 60, loss 7.06865787506,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 70, loss 6.97832727432,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.27 sec
Pass 0, trainbatch 80, loss 6.93097877502,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 90, loss 7.00585031509,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 100, loss 6.94884204865,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 110, loss 6.89883947372,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.29 sec
Pass 0, trainbatch 120, loss 6.98554182053,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 130, loss 7.03065252304,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 140, loss 6.9209356308,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 150, loss 6.8778719902,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 160, loss 6.93359422684,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 170, loss 6.9804353714,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 180, loss 6.88409280777,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 190, loss 6.86348724365,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.26 sec
Pass 0, trainbatch 200, loss 6.96723604202,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 210, loss 6.92663478851,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.23 sec
Pass 0, trainbatch 220, loss 6.93996906281,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 230, loss 6.90417957306,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.25 sec
Pass 0, trainbatch 240, loss 6.97218608856,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 250, loss 6.87521648407,                         acc1 0.0, acc5 0.0625, lr0.10000, time 0.22 sec
Pass 0, trainbatch 260, loss 6.99532222748,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 270, loss 6.95898866653,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 280, loss 6.92748641968,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 290, loss 6.86651515961,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
Pass 0, trainbatch 300, loss 6.97316455841,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.24 sec
Pass 0, trainbatch 310, loss 6.99917221069,                         acc1 0.0, acc5 0.0, lr0.10000, time 0.22 sec
